(63, -53, 2)	(-4022, -242739, '0')
(63, -43, 2)	(-4012, -243369, '0')
(63, -19, 2)	(-3988, -244881, '0')
(63, -11, 1)	(-3980, -245385, '0')
(63, -5, 1)	(-3974, -245763, '0')
(63, -2, 2)	(-3971, -245952, '0')
(63, -1, 1)	(-3970, -246015, '0')
(63, 2, 2)	(-3967, -246204, '0')
(63, 10, 2)	(-3959, -246708, '0')
(63, 11, 2)	(-3958, -246771, '0')
(63, 13, 1)	(-3956, -246897, '0')
(63, 23, 1)	(-3946, -247527, '0')
(63, 37, 1)	(-3932, -248409, '0')
(25, 63, 2)	(-562, -16575, '0')
(-63, 17, 2)	(-3952, 255087, '0')
(19, -63, 2)	(-424, -5301, '0')
(64, -49, 3)	(-4145, -254912, '0')
(64, 47, 2)	(-4049, -261056, '0')
(34, -64, 2)	(-1220, -35972, '0')
(65, -57, 3)	(-4282, -266695, '0')
(65, -1, 0)	(-4226, -270335, '0')
(65, 23, 1)	(-4202, -271895, '0')
(65, 39, 3)	(-4186, -272935, '0')
(19, 65, 2)	(-296, -7733, '0')
(-3, 65, 2)	(56, 231, '0')
(-7, 65, 2)	(16, 847, '0')
(-9, 65, 2)	(-16, 1395, '0')
(-11, 65, 2)	(-56, 2167, '0')
(-17, 65, 2)	(-224, 6307, '0')
(-23, 65, 2)	(-464, 14191, '0')
(-33, 65, 2)	(-1024, 39171, '0')
(-47, 65, 2)	(-2144, 109087, '0')
(-51, 65, 2)	(-2536, 138567, '0')
(-63, 65, 2)	(-3904, 258111, '0')
(51, -65, 2)	(-2666, -126735, '0')
(35, -66, 3)	(-1291, -39340, '0')
(67, -37, 1)	(-4526, -293795, '0')
(67, -15, 2)	(-4504, -295269, '0')
(67, -7, 1)	(-4496, -295805, '0')
(67, -1, 0)	(-4490, -296207, '0')
(67, 2, 1)	(-4487, -296408, '0')
(67, 17, 1)	(-4472, -297413, '0')
(67, 23, 1)	(-4466, -297815, '0')
(67, 27, 2)	(-4462, -298083, '0')
(67, 38, 2)	(-4451, -298820, '0')
(67, 41, 2)	(-4448, -299021, '0')
(67, 62, 2)	(-4427, -300428, '0')
(67, 65, 2)	(-4424, -300629, '0')
(63, 67, 1)	(-3902, -250299, '0')
(51, 67, 1)	(-2534, -133467, '0')
(33, 67, 1)	(-1022, -37059, '0')
(27, 67, 1)	(-662, -20763, '0')
(21, 67, 1)	(-374, -10227, '0')
(7, -67, 1)	(-116, 175, '0')
(15, -67, 2)	(-292, -2145, '0')
(55, -67, 2)	(-3092, -159665, '0')
